name,qSpecies
Alamo Square,6.220095693779904
Anza Vista,7.655502392344498
Apparel City,4.784688995215311
Ashbury Heights,12.440191387559809
Balboa Terrace,6.4593301435406705
Bayview,31.100478468899524
Bernal Heights,33.49282296650718
Bret Harte,14.354066985645932
Buena Vista,18.181818181818183
Castro,12.918660287081341
Cathedral Hill,10.76555023923445
Cayuga,11.722488038277511
Central Waterfront,17.464114832535884
Chinatown,4.784688995215311
Civic Center,8.133971291866029
Cole Valley,10.76555023923445
Corona Heights,9.808612440191387
Cow Hollow,12.918660287081341
Crocker Amazon,15.07177033492823
Diamond Heights,11.483253588516746
Dogpatch,12.440191387559809
Dolores Heights,30.14354066985646
Downtown / Union Square,2.15311004784689
Duboce Triangle,13.157894736842104
Eureka Valley,23.684210526315788
Excelsior,24.641148325358852
Fairmount,22.727272727272727
Financial District,7.4162679425837315
Fishermans Wharf,7.655502392344498
Forest Hill,13.875598086124402
Glen Park,19.138755980861244
Golden Gate Heights,22.727272727272727
Haight Ashbury,12.679425837320574
Hayes Valley,13.875598086124402
Holly Park,18.181818181818183
Hunters Point,7.894736842105263
India Basin,8.133971291866029
Ingleside,19.617224880382775
Ingleside Terraces,4.545454545454546
Inner Richmond,26.076555023923444
Inner Sunset,16.985645933014354
Japantown,10.76555023923445
Laguna Honda,14.354066985645932
Lake Street,12.679425837320574
Laurel Heights / Jordan Park,11.961722488038278
Little Hollywood,9.569377990430622
Lone Mountain,15.07177033492823
Lower Haight,15.07177033492823
Lower Nob Hill,8.373205741626794
Lower Pacific Heights,13.157894736842104
Marina,20.334928229665074
Merced Heights,11.24401913875598
Merced Manor,7.655502392344498
Mint Hill,7.4162679425837315
Miraloma Park,14.114832535885165
Mission,40.430622009569376
Mission Bay,9.330143540669857
Mission Dolores,18.660287081339714
Mission Terrace,17.22488038277512
Mt. Davidson Manor,8.61244019138756
Nob Hill,14.832535885167463
Noe Valley,33.014354066985646
North Beach,13.397129186602871
Northern Waterfront,6.4593301435406705
Oceanview,15.789473684210526
Outer Mission,13.875598086124402
Outer Richmond,25.11961722488038
Outer Sunset,24.401913875598087
Pacific Heights,24.16267942583732
Panhandle,13.875598086124402
Parkmerced,7.894736842105263
Parkside,24.641148325358852
Parnassus Heights,9.090909090909092
Peralta Heights,18.421052631578945
Polk Gulch,10.287081339712918
Portola,22.00956937799043
Potrero Hill,41.62679425837321
Presidio Heights,15.550239234449762
Presidio Terrace,11.722488038277511
Produce Market,4.784688995215311
Rincon Hill,5.023923444976076
Russian Hill,24.641148325358852
Seacliff,9.090909090909092
Showplace Square,10.76555023923445
Silver Terrace,18.421052631578945
South Beach,5.741626794258373
South of Market,24.401913875598087
St. Francis Wood,7.4162679425837315
St. Marys Park,10.047846889952153
Stonestown,7.177033492822966
Sunnyside,25.837320574162682
Sutro Heights,10.76555023923445
Telegraph Hill,13.157894736842104
Tenderloin,7.894736842105263
Union Street,12.440191387559809
University Mound,10.76555023923445
Upper Market,15.550239234449762
Visitacion Valley,15.07177033492823
West Portal,15.789473684210526
Western Addition,16.74641148325359
Westwood Park,9.330143540669857
